City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1 hours),Snow inches (last 1 hours)
202,Akureyri,IS,2020-07-12 16:38:49,65.68,-18.09,57.2,71,100,13.87,light rain,0.24,0
203,Atar,MR,2020-07-12 16:38:49,20.52,-13.05,99.84,26,72,6.17,light rain,0.31,0
204,Sobolevo,RU,2020-07-12 16:38:49,54.43,31.9,55.74,87,97,12.57,overcast clouds,0,0
205,Uvat,RU,2020-07-12 16:38:49,59.14,68.9,65.01,64,4,4.61,clear sky,0,0
206,Tala,EG,2020-07-12 16:38:49,30.68,30.94,79.97,56,0,11.39,clear sky,0,0
207,Savannah Bight,HN,2020-07-12 16:38:49,16.45,-85.85,82.09,78,94,10.98,overcast clouds,0,0
208,Pafos,CY,2020-07-12 16:38:49,34.77,32.42,84.0,83,40,14.99,scattered clouds,0,0
209,Osmena,PH,2020-07-12 16:38:50,10.52,119.93,83.17,73,100,6.98,overcast clouds,0,0
210,Krasnoselkup,RU,2020-07-12 16:38:50,65.7,82.47,53.47,76,74,4.72,broken clouds,0,0
211,Tahe,CN,2020-07-12 16:38:50,52.33,124.73,67.77,65,36,2.57,scattered clouds,0,0
212,Faanui,PF,2020-07-12 16:38:50,-16.48,-151.75,78.67,76,100,14.27,overcast clouds,0,0
213,Arraial Do Cabo,BR,2020-07-12 16:38:50,-22.97,-42.03,87.8,40,70,10.29,broken clouds,0,0
214,Zhangjiakou,CN,2020-07-12 16:38:50,40.81,114.88,66.96,81,100,1.63,overcast clouds,0,0
215,Mehamn,NO,2020-07-12 16:38:50,71.04,27.85,48.2,87,20,13.87,few clouds,0,0
216,Greytown,ZA,2020-07-12 16:38:50,-29.06,30.59,43.32,62,0,2.68,clear sky,0,0
217,Fare,PF,2020-07-12 16:38:51,-16.7,-151.02,79.29,77,97,18.52,light rain,0.15,0
218,Maragogi,BR,2020-07-12 16:38:51,-9.01,-35.22,79.27,67,19,11.74,few clouds,0,0
219,Ponta Do Sol,PT,2020-07-12 16:38:51,32.67,-17.1,77.0,66,0,2.86,clear sky,0,0
220,Norman Wells,CA,2020-07-12 16:38:51,65.28,-126.83,53.6,93,90,8.05,light rain,0,0
221,Buala,SB,2020-07-12 16:38:51,-8.14,159.59,80.55,82,91,10.6,moderate rain,1.53,0
222,Makakilo City,US,2020-07-12 16:38:51,21.35,-158.09,77.0,73,75,3.36,broken clouds,0,0
223,Kavali,IN,2020-07-12 16:38:51,14.92,79.98,88.21,65,97,2.91,overcast clouds,0,0
224,Ayan,RU,2020-07-12 16:38:51,56.45,138.17,51.84,89,75,3.96,broken clouds,0,0
225,Penapolis,BR,2020-07-12 16:38:51,-21.42,-50.08,86.02,34,50,11.63,scattered clouds,0,0
226,Chaumont,FR,2020-07-12 16:38:51,48.12,5.13,80.6,24,15,6.93,few clouds,0,0
227,Jibuti,DJ,2020-07-12 16:38:52,11.5,42.5,95.0,56,1,3.36,clear sky,0,0
228,Muravlenko,RU,2020-07-12 16:38:52,63.79,74.52,60.24,71,66,9.17,broken clouds,0,0
229,Sarkand,KZ,2020-07-12 16:38:52,45.41,79.92,60.19,51,18,5.14,few clouds,0,0
230,Le Port,RE,2020-07-12 16:38:52,-20.94,55.29,69.8,68,20,16.11,few clouds,0,0
231,Kununurra,AU,2020-07-12 16:37:43,-15.77,128.73,71.6,26,98,6.93,overcast clouds,0,0
232,Grand Gaube,MU,2020-07-12 16:38:52,-20.01,57.66,72.0,68,0,5.01,clear sky,0,0
233,Kaeo,NZ,2020-07-12 16:38:52,-35.1,173.78,51.01,3,59,8.19,broken clouds,0,0
234,Uige,AO,2020-07-12 16:38:52,-7.61,15.06,73.4,69,20,9.17,few clouds,0,0
235,Abu Dhabi,AE,2020-07-12 16:35:33,24.47,54.37,98.6,67,77,10.29,broken clouds,0,0
236,El Cope,PA,2020-07-12 16:38:53,8.62,-80.6,81.0,75,75,1.5,broken clouds,0,0
237,Santa Rosa,PH,2020-07-12 16:38:53,14.31,121.11,82.99,89,100,2.8,light rain,0.15,0
238,Cervo,ES,2020-07-12 16:38:53,43.67,-7.41,70.0,65,0,21.0,clear sky,0,0
239,Sfantu Gheorghe,RO,2020-07-12 16:38:53,45.87,25.78,61.0,87,100,3.0,light rain,0.66,0
240,Upper Arlington,US,2020-07-12 16:38:53,39.99,-83.06,75.99,78,90,5.82,overcast clouds,0,0
241,Rizhao,CN,2020-07-12 16:38:53,35.43,119.46,68.5,90,100,15.01,overcast clouds,0,0
242,Menongue,AO,2020-07-12 16:38:53,-14.66,17.69,66.78,25,0,5.64,clear sky,0,0
243,Silver City,US,2020-07-12 16:38:53,32.77,-108.28,93.2,13,1,6.93,clear sky,0,0
244,Oussouye,SN,2020-07-12 16:38:53,12.48,-16.55,82.4,83,40,9.17,light rain,0,0
